2,FFT,float32,1024,1024,1024,2,4,NCCL,1,8853.0348,21.1146,85.3446,28.3442,19.0148,21.2065
2,IFFT,float32,1024,1024,1024,2,4,NCCL,1,147.1818,22.4013,24.6837,23.4151,0.8652,22.4013
6,FFT,float32,1024,1024,1024,2,4,NCCL,1,8911.9532,20.9772,85.8131,28.1714,19.2234,21.2228
6,IFFT,float32,1024,1024,1024,2,4,NCCL,1,91.7701,22.4378,25.2955,23.7029,1.0405,22.4378
3,FFT,float32,1024,1024,1024,2,4,NCCL,1,8857.6854,20.8552,84.9558,28.2451,18.9193,20.8552
3,IFFT,float32,1024,1024,1024,2,4,NCCL,1,147.0772,22.2934,24.8082,23.5034,0.9742,22.7727
0,FFT,float32,1024,1024,1024,2,4,NCCL,1,8852.8710,21.0960,86.8010,28.3713,19.4896,21.1486
0,IFFT,float32,1024,1024,1024,2,4,NCCL,1,147.5676,22.3286,25.1214,23.5284,1.0455,22.3639
4,FFT,float32,1024,1024,1024,2,4,NCCL,1,8909.8012,21.0881,85.2734,28.3181,18.9998,21.1937
4,IFFT,float32,1024,1024,1024,2,4,NCCL,1,92.9975,22.2993,24.6499,23.4536,0.8769,22.2993
7,FFT,float32,1024,1024,1024,2,4,NCCL,1,8908.5723,20.8547,84.8279,28.3930,18.8323,20.8547
7,IFFT,float32,1024,1024,1024,2,4,NCCL,1,92.6445,22.3090,24.7660,23.4283,0.8011,22.7700
5,FFT,float32,1024,1024,1024,2,4,NCCL,1,8907.9926,20.9289,84.9508,28.1012,18.9589,21.2858
5,IFFT,float32,1024,1024,1024,2,4,NCCL,1,92.0751,22.4465,24.9811,23.7423,1.0850,22.5522
1,FFT,float32,1024,1024,1024,2,4,NCCL,1,8855.6628,20.9329,85.9265,28.3666,19.2015,21.1835
1,IFFT,float32,1024,1024,1024,2,4,NCCL,1,145.5578,22.3681,24.7417,23.4911,0.9144,22.5349
0,FFT,float32,1024,1024,1024,2,4,MPI,1,9424.5283,20.3532,81.8164,26.9967,18.2774,20.7080
0,IFFT,float32,1024,1024,1024,2,4,MPI,1,306.5171,21.8066,22.9756,22.3158,0.3996,22.0051
4,FFT,float32,1024,1024,1024,2,4,MPI,1,9624.3964,20.2936,82.3412,26.9364,18.4696,20.7256
4,IFFT,float32,1024,1024,1024,2,4,MPI,1,90.1930,21.8312,23.5453,22.4617,0.5835,22.0344
1,FFT,float32,1024,1024,1024,2,4,MPI,1,9400.6875,20.2998,82.9848,27.0942,18.6347,20.7067
1,IFFT,float32,1024,1024,1024,2,4,MPI,1,306.4939,21.7945,22.9992,22.3333,0.4096,21.9722
3,FFT,float32,1024,1024,1024,2,4,MPI,1,9402.8991,20.3880,83.5073,27.2412,18.7612,20.6897
3,IFFT,float32,1024,1024,1024,2,4,MPI,1,306.4362,21.9901,22.7917,22.2628,0.2980,21.9923
7,FFT,float32,1024,1024,1024,2,4,MPI,1,9635.7665,20.2976,82.2546,27.0511,18.4047,20.6959
7,IFFT,float32,1024,1024,1024,2,4,MPI,1,90.3125,21.7839,23.2204,22.3203,0.4551,21.9994
6,FFT,float32,1024,1024,1024,2,4,MPI,1,9700.3395,20.0670,83.0578,27.0172,18.6832,20.6888
6,IFFT,float32,1024,1024,1024,2,4,MPI,1,90.3324,21.7965,23.4948,22.4230,0.5343,21.9873
2,FFT,float32,1024,1024,1024,2,4,MPI,1,9602.5241,20.0567,82.0945,26.9773,18.3773,20.6880
2,IFFT,float32,1024,1024,1024,2,4,MPI,1,306.3245,21.9784,23.0100,22.3603,0.3566,21.9949
5,FFT,float32,1024,1024,1024,2,4,MPI,1,9638.3782,20.3095,81.9545,26.8546,18.3682,20.7096
